SKU,SKU Description,Premium,Standard,Edge,Include in Data,Licensing Model,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MCT3691,"Red Hat Ansible Automation Platform, Standard (100 Managed Nodes)",FALSE,TRUE,FALSE,TRUE,node,GBP,8970,24219,Ansible,100,STANDARD,0,MANAGED NODE,MCT3691F3
MCT3692,"Red Hat Ansible Automation Platform, Standard (5000 Managed Nodes)",FALSE,TRUE,FALSE,TRUE,node,GBP,386400,1043280,Ansible,5000,STANDARD,0,MANAGED NODE,MCT3692F3
MCT3693,"Red Hat Ansible Automation Platform, Standard (10000 Managed Nodes)",FALSE,TRUE,FALSE,TRUE,node,GBP,772800,2086560,Ansible,10000,STANDARD,0,MANAGED NODE,MCT3693F3
MCT3694,"Red Hat Ansible Automation Platform, Premium (100 Managed Nodes)",TRUE,FALSE,FALSE,TRUE,node,GBP,12075,32602.5,Ansible,100,PREMIUM,0,MANAGED NODE,MCT3694F3
MCT3695,"Red Hat Ansible Automation Platform, Premium (5000 Managed Nodes)",TRUE,FALSE,FALSE,TRUE,node,GBP,517500,1397250,Ansible,5000,PREMIUM,0,MANAGED NODE,MCT3695F3
MCT3696,"Red Hat Ansible Automation Platform, Premium (10000 Managed Nodes)",TRUE,FALSE,FALSE,TRUE,node,GBP,1035000,2794500,Ansible,10000,PREMIUM,0,MANAGED NODE,MCT3696F3
MCT4623,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Network), Premium (100 Managed Nodes)",TRUE,FALSE,TRUE,TRUE,node,GBP,6037,16301.25,Edge Ansible,,PREMIUM,0,MANAGED NODE,MCT4623F3
MCT4623F3,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Network), Premium (100 Managed Nodes)",TRUE,FALSE,TRUE,TRUE,node,GBP,,16301.25,Edge Ansible,,PREMIUM,0,MANAGED NODE,MCT4623F3
MCT4624,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Network), Standard (100 Managed Nodes)",FALSE,TRUE,TRUE,TRUE,node,GBP,4485,12109.5,Edge Ansible,,STANDARD,0,MANAGED NODE,MCT4624F3
MCT4624F3,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Network), Standard (100 Managed Nodes)",FALSE,TRUE,TRUE,TRUE,node,GBP,,12109.5,Edge Ansible,,STANDARD,0,MANAGED NODE,MCT4624F3
MCT4164,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Server), Premium (100 Managed Nodes)",TRUE,FALSE,TRUE,TRUE,node,GBP,6037,16301.25,Edge Ansible,100,PREMIUM,0,MANAGED NODE,MCT4164F3
MCT4165,"Red Hat Ansible Automation Platform for Distributed Computing (Edge Server), Standard (100 Managed Nodes)",FALSE,TRUE,TRUE,TRUE,node,GBP,4485,12109.5,Edge Ansible,100,STANDARD,0,MANAGED NODE,MCT4165F3
